Molecule,Atom 1,Atom 2,Bond Length,Cos Part Angles,Cos(Length),InRing_B,Mayer,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Bond Type,MullikenCharge1,MullikenCharge2,Neighbour1,Neighbour2,MaxRing,Ratio,IsBroken
4007,24,25,1.53413642,0.852133904,1.00401598,0,1.10764757,2.55,0,2.55,0,0,0,7,7,0,0.119388,-0.003171,2,1,0,0,0
4007,2,24,1.44879736,0.850398985,0.99437018,0,1.00522139,3.04,2,2.55,0,0,0,5,7,2,-0.285104,0.119388,3,2,0,0,0
4007,12,11,1.41052495,0.86581216,1.0025053,0,0.96548142,2.55,0,3.44,1,0,0,7,7,1,0.183204,-0.283522,1,2,0,0,0
4007,11,10,1.3430608,0.998206576,0.95455636,0,1.18791734,3.44,1,2.55,0,0,0,7,6,1,-0.283522,0.171726,2,3,0,0,0
4008,2,0,1.539537029,0.933871756,1.437730149,5,0.92614059,2.55,0,2.55,0,0,0,5,5,0,0.035047,-0.046236,4,3,5,0.2,1
4008,12,2,1.546434392,0.73541427,1.137269919,0,0.8281892,2.55,0,2.55,0,0,0,0,5,0,0.045139,0.035047,3,4,0,0,0
4008,19,20,1.535681623,0.836761778,1.284999685,0,1.08622436,2.55,0,2.55,0,0,0,0,0,0,0.087592,-0.008732,2,1,0,0,0
4008,14,12,1.510293209,0.841455754,1.270844912,0,1.05420461,2.55,0,2.55,0,0,0,0,0,0,0.056187,0.045139,1,3,0,0,0
4008,18,19,1.50193902,0.811946684,1.219494407,0,1.05387705,2.55,0,2.55,0,0,0,0,0,0,-0.105518,0.087592,2,2,0,0,0
4008,0,18,1.33999349,0.999913802,1.339877986,0,1.94404935,2.55,0,2.55,0,0,0,5,0,0,-0.046236,-0.105518,3,2,0,0,0
4009,7,8,1.5162336,0.999563039,1.515571065,3,0.82710298,2.55,0,2.55,0,0,0,3,3,0,-0.212865,-0.144253,4,4,3,0.333333333,1
4009,8,16,1.527734266,0.874112026,1.335410894,0,0.89146186,2.55,0,2.55,0,1,0,3,0,0,-0.144253,0.039214,4,3,0,0,0
4009,16,24,1.513674118,0.850478928,1.287347942,0,1.04012794,2.55,0,2.55,0,0,0,0,0,0,0.039214,0.056049,3,1,0,0,0
4009,17,7,1.512733141,0.756382852,1.144205407,0,0.91771247,2.55,0,2.55,0,0,1,0,3,0,0.044479,-0.212865,3,4,0,0,0
