Molecule,Atom 1,Atom 2,Bond Length,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Neighbour1,Neighbour2
4006,13,14,1.517527695,2.55,0,2.55,0,0,0,7,7,2,4
4006,39,40,1.509259195,2.55,0,2.55,0,0,0,0,0,3,1
4006,6,11,1.504339959,2.55,0,2.55,0,0,0,5,7,3,2
4006,9,28,1.494282264,2.55,0,2.55,0,0,1,7,6,3,3
4006,10,14,1.480981038,3.04,2,2.55,0,0,0,7,7,2,4
4006,9,10,1.416634342,2.55,0,3.04,2,0,0,7,7,3,2
4006,31,38,1.387129057,2.55,0,3.44,1,1,0,6,0,3,2
4006,38,39,1.361188982,3.44,1,2.55,0,0,0,0,0,2,3
4006,3,9,1.348954203,2.55,0,2.55,0,0,0,5,7,3,3
4006,11,13,1.337729498,2.55,0,2.55,0,0,0,7,7,2,2
4006,39,41,1.202661929,2.55,0,3.44,1,0,0,0,0,3,1
4007,3,5,1.595449274,2.55,0,2.55,0,0,0,5,5,4,4
4007,4,7,1.569939651,2.55,0,2.55,0,0,0,5,5,3,3
4007,3,4,1.567531252,2.55,0,2.55,0,0,0,5,5,4,3
4007,3,17,1.556578167,2.55,0,2.55,0,0,0,5,5,4,2
4007,17,19,1.554245016,2.55,0,2.55,0,0,0,5,5,2,4
4007,18,19,1.545083547,2.55,0,2.55,0,0,0,5,5,2,4
4007,5,6,1.533496491,2.55,0,2.55,0,0,0,5,6,4,3
4007,1,3,1.517331195,2.55,0,2.55,0,1,0,5,5,3,4
4007,5,18,1.517308391,2.55,0,2.55,0,0,0,5,5,4,2
4007,7,9,1.510635216,2.55,0,2.55,0,0,0,5,6,3,2
4007,6,10,1.503040445,2.55,0,2.55,0,0,0,6,6,3,3
4007,2,4,1.452938883,3.04,2,2.55,0,0,0,5,5,3,3
4007,5,60,1.429777168,2.55,0,3.44,1,0,0,5,5,4,2
4007,7,60,1.41854195,2.55,0,3.44,1,0,0,5,5,3,2
4007,0,1,1.412936929,2.55,0,2.55,0,1,1,5,5,3,3
4007,0,34,1.402138157,2.55,0,2.55,0,1,1,5,6,3,2
4007,33,34,1.401690579,2.55,0,2.55,0,1,1,6,6,2,2
4007,31,32,1.397828531,2.55,0,2.55,0,1,1,6,6,2,3
4007,32,33,1.392530486,2.55,0,2.55,0,1,1,6,6,3,2
4007,1,31,1.391899371,2.55,0,2.55,0,1,1,5,6,3,2
4007,0,2,1.388538276,2.55,0,3.04,2,1,0,5,5,3,3
4007,9,10,1.354669379,2.55,0,2.55,0,0,0,6,6,2,3
4007,19,40,1.540888214,2.55,0,2.55,0,0,0,5,7,4,3
4007,19,39,1.535096681,2.55,0,2.55,0,0,0,5,7,4,3
4007,24,25,1.534136421,2.55,0,2.55,0,0,0,7,7,2,1
4007,50,51,1.514642052,2.55,0,2.55,0,0,0,7,7,2,1
4007,42,43,1.514130893,2.55,0,2.55,0,0,0,7,7,2,1
4007,2,24,1.448797356,3.04,2,2.55,0,0,0,5,7,3,2
4007,41,42,1.442155034,3.44,1,2.55,0,0,0,7,7,2,2
4007,49,50,1.440084989,3.44,1,2.55,0,0,0,7,7,2,2
4007,11,12,1.410524955,3.44,1,2.55,0,0,0,7,7,2,1
4007,40,49,1.343172782,2.55,0,3.44,1,0,0,7,7,3,2
4007,10,11,1.3430608,2.55,0,3.44,1,0,0,6,7,3,2
4007,39,41,1.341398103,2.55,0,3.44,1,0,0,7,7,3,2
4007,6,59,1.209758819,2.55,0,3.44,1,0,0,6,7,3,1
4007,39,57,1.206777373,2.55,0,3.44,1,0,0,7,7,3,1
4007,40,58,1.203672086,2.55,0,3.44,1,0,0,7,7,3,1
4008,1,4,1.574398996,2.55,0,2.55,0,0,0,5,5,3,3
4008,2,3,1.551717449,2.55,0,2.55,0,0,0,5,6,4,3
4008,0,2,1.539537029,2.55,0,2.55,0,0,0,5,5,3,4
4008,4,5,1.525623674,2.55,0,2.55,0,0,0,5,6,3,3
4008,0,1,1.52233401,2.55,0,2.55,0,0,0,5,5,3,3
4008,3,6,1.479633949,2.55,0,2.55,0,0,0,6,6,3,2
4008,2,9,1.437453283,2.55,0,3.44,1,0,0,5,5,4,2
4008,4,9,1.410613723,2.55,0,3.44,1,0,0,5,5,3,2
