Molecule,Force,Ave_BondLength,Ave_CosbondLength,Ave_MayerBonds,ReactionRingAtoms,BrokenInRatio,BondType,Ave_MullikenCharge1,Ave_MullikenCharge2,MinLength,MaxLength,Elec_reac_max_mean,Elec_reac_min_mean,Nuc_reac_max_mean,Nuc_reac_min_mean
2286,3.1,1.53707109,1.5367,0.90109712,3,0.33333333,0,0.022458,0.048451,16.919329,18.3933584,0.01957,0.01922,0.07126,0.06134
2287,5.7,1.42544232,1.24438529,0.96544216,4,0.25,3,-0.209124,-0.207398,18.8858853,21.9681765,0.00864,0.00847,0.22402,0.22358
2288,4.1,1.63512233,1.45150066,0.94495873,0,0,0,0.054978,0.057317,15.8798749,16.1451324,0.00774,0.00752,0.00402,0.00328
2289,5,1.46748355,0.94320427,0.90422041,0,0,3,-0.218892,-0.218558,18.5547761,18.8075398,0.01678,0.01677,0.04448,0.0441
2290,5.5,1.46028408,0.95172371,0.90638485,0,0,3,-0.234522,-0.216862,27.4932243,27.4952122,0.01114,0.0033,0.02258,-0.00577
12-3,3.5,1.58515603,1.5829,1.07292589,4,0.25,0,-0.01417,0.053997,11.5797114,14.4746392,0.00954,0.00871,0.03467,0.01641
1001-2,3.1,1.4746607,1.1774,0.91359655,15,0.26666667,1,-0.305931,0.230085,29.0696304,45.8994164,0.03567,0.00559,0.06584,0.01927
1002-,2.7,1.44370817,1.1296,0.94712588,15,0.26666667,1,-0.292902,0.244688,18.0825243,34.6581716,0.03736,0.0045,0.02464,0.00308
1014-,3.5,1.46903435,1.0932,0.93296127,15,0.26666667,1,-0.313839,0.221937,18.1122547,34.7151548,0.01193,0.00245,0.02925,0.01205
1014-2,4,1.4552832,1.1234,0.95626119,15,0.26666667,1,-0.300244,0.211939,18.1194897,34.7290219,0.01431,0.00379,0.03686,0.0127
1014-2-,4,1.46053296,1.0622,0.9488088,15,0.26666667,1,-0.301966,0.19095,18.1108908,34.7125407,0.01632,0.00453,0.0362,0.01182
1015-,5.6,1.42571682,1.0353,0.99688874,15,0.33333333,1,-0.29917,0.219292,30.1870737,49.8086716,0.01267,0.00429,0.01542,0.01531
1017-2,3.5,1.4243116,1.111,0.93250067,15,0.26666667,1,-0.293807,0.221467,21.0901905,40.6739387,0.03134,0.00233,0.02634,0.00482
1017-3,3.5,1.44772676,1.1468,0.9206954,15,0.26666667,1,-0.299007,0.218103,19.5659565,42.1420602,0.02672,0.00253,0.02467,0.00704
1033-2,3.9,1.43116961,0.9921,0.97181838,17,0.35294118,1,-0.288096,0.260354,18.2476116,30.4126859,0.02883,0.00204,0.03751,0.02272
1034-2,4.8,1.42237796,1.0004,0.97881854,17,0.35294118,1,-0.287533,0.202168,18.2480432,30.4134053,0.02454,0.00375,0.01986,0.01781
1035-2,4.8,1.42018373,1.0013,0.98683866,17,0.35294118,1,-0.287491,0.200318,18.2465272,30.4108787,0.01899,0.00514,0.02696,0.01862
108-,4.3,1.61498705,1.4334,0.81114623,0,0,0,0.067443,0.067448,16.8260659,18.3557083,0.00761,0.00761,0.00192,0.00192
12-,4.7,1.56382092,1.5132,1.03754169,4,0.25,0,-0.048464,-0.003247,10.1368996,13.0331567,0.0057,0.00523,0.02356,0.01728
2013-2,4.6,1.45923065,1.2836,0.91365378,9,0.33333333,2,-0.281572,0.080534,19.9962633,28.5660904,0.00492,0.00011,0.39864,0.04487
2014-2,5,1.4568232,1.3243,0.93916998,9,0.33333333,2,-0.28617,0.138066,20.0013755,28.5733936,0.00001,-0.00036,0.37327,0.04319
2029-2,3.4,1.58607709,1.5834,1.09294071,4,0.25,0,0.071313,0.101963,22.9253275,30.5671033,0.00077,0.00074,0.04267,0.035
2030-,4.2,1.55361145,1.5483,0.94025291,6,0.16666667,0,-0.056405,0.019292,28.7380911,46.8884645,0.03435,0.00432,0.04072,0.01639
