Molecule,SMILES,Force,Predicted Type 0,Predicted Type,Result,BeginAtom,EndAtom
4036,O=C([C@H](C(C)C)NC(OC)=O)N1CCCC1C2=NC=C(N2)C3=CC=C(C4=C5C=CC(C6=CN=C(C7CCCN7C(N(C(C)C)C8=CC=C(C)C=C8)=O)N6)=C4)C5=C3,6.2,1,1,1,72,89
4037,C[C@@H]1C(S[C@@H]2CN[C@H](C(N(C)C)=O)C2)=C(C(O)=O)N3C([C@@]([C@H](C)O)([H])[C@@]31[H])=O,4,7,7,1,6,41
4038,C[C@@H]1C(C)=C(C(O)=O)N2C([C@]([C@H](C)O)([H])[C@@]21[H])=O,3.5,1,1,1,14,22
4039,O=C1N(C2=CC(OC)=C(OC)C(OC)=C2)[C@@H](C3=CC(O)=C(OC)C=C3)[C@H]1C,4.4,1,1,1,22,42
4040,O=C1N(C(N[C@@H](C2CCCCC2)C)=O)[C@H](C(OC)=O)[C@H]1CC3=CC(N([H])[H])=NC=C3,4.4,1,1,1,11,46
4041,[H][C@]1(C2)[C@]3([H])C(N3S(C4=CC=CC=C4)(=O)=O)([H])[C@]2([H])[C@@]5([H])[C@]1([H])N(C(OC)=O)N5C(OC)=O,6.1,1,1,1,17,23
4042,O=C1CN(C2=C([N+]([O-])=O)C=C(C)C=C2)N1C3[C@H]4C[C@@H]5C(C)[C@H](C4)C[C@H]3C5,4.5,1,1,1,9,44
4043,CO[C@]1(C2=CC=C(C#N)C(OC(C)=O)=C2)OO[C@]13[C@H]4CCC[C@@H]3C(CCC(C)C5)=C5C4,4.3,1,1,1,22,55
4044,O=C(N1C2=CC(C(N(CC(OC)=O)C3=O)=O)=C3C=C2)C4=C(C=CC=C4)C51C6=CC=C(N(CC)CC(F)(F)F)C=C6OC7=C5C=CC(N(CC)CC(F)(F)F)=C7,4.1,7,7,1,50,80
4045,CC(OC(C=C1)=CC=C1C2(C3=CC=CC=C3)C=CC4=C5C(C=CC=C5)=CC(OCCOC(C)=O)=C4S2)=O,3.1,6,6,1,28,58
4046,CN(C)C(SSC(N(C)C)=S)=S,3.3,7,7,1,5,14
92,[H]N([H])C(C=C1)=CC=C1SSC2=CC=C(N([H])[H])C=C2,2.1,7,7,1,10,25
4048,O=C(N1C2=CC(OC)=C(C)C=C2)C3=C(C=CC=C3)C41C5=CC=C(C)C=C5OC6=C4C=CC(N(CC)CC)=C6,4.5,7,7,1,33,57
4049,C=CC1=C(C)[C@H]2C3=CC=CC=C3[C@@]1([C@H]4C2C(N(C5=CC=C(C(OCC)=O)C=C5)C4=O)=O)C(C)=O,4.3,2,2,1,35,51
4050,CC[C@]1([C@H](C(N2CC(OCC)=O)=O)[C@@H]3C2=O)C4=CC=C(C=CC=C5)C5=C4[C@@H]3C6=C1C(C=CC=C7)=C7C=C6,4.3,2,2,1,30,37
4051,CC[C@]1([C@H]2[C@@H]3[C@@H]4[C@@H]5[C@@H](C(C(OC)=O)=C5C(OC)=O)[C@H]2C4)C=C[C@@H]3C6=C1N=C(C=CC=C7)C7=N6,3.2,2,2,1,14,47
4052,O=C([C@H](C12)[C@@]3(/C=C/CC(CC4(C)CCCC4)=O)C5=CC=CC=C5[C@@H]1C6=C3C=CC=C6)N(C7=C(Cl)C=C(C)C=C7Cl)C2=O,4.1,2,2,1,44,58
4053,CC(OC1=C[C@H]2[C@@](C(C(C=C(N3C4=NC=CC(N)=C4N=C3)C5=O)=O)=C5[C@@H]6C2C=C1)(OCCOC(C)=O)C7=C6C(C(Br)=C(C)C7=O)=O)=O,2.6,2,2,1,27,43
4054,O=C(C1=C2C=CC(CC)=C1)N(N3C2=O)[C@@]4(CC)C5=CC=CC=C5[C@@H]3C6=C4C=CC=C6,3.2,2,2,1,31,44
4055,O=C(N1CC)[C@H]2C([C@@]3(C4=NN=C(C5=CC=C(C)O5)C=C4)C=C[C@@H]2O3)C1=O,4,2,2,1,11,30
4056,O=C1N(C2=CC=C(C#N)C=C2)C([C@]3([H])[C@]1([C@@]4(C5=CC=CC=C5)C(C6=CC=C(C(C)=O)C=C6)=C(C7=CC=CC=C7)[C@]3(C8=CC=CC=C8)C4=O)[H])=O,5.5,2,2,0,31,70
4057,O=C1N(CCCN2CCN(C3=CC=C(C#N)C=C3)CC2)C([C@@]4([H])[C@@]1([C@@]5(CC(C)CC6)C6=C(C)[C@@H]4C5)[H])=O,4.5,2,2,1,29,70
4058,O=C1N(CCOCCN2C([C@]3([H])[C@@]([H])([C@@]4(COC(C)=O)C=C[C@@H]3O4)C2=O)=O)C([C@@]5([H])[C@]6(COC(C)=O)C=C[C@@H](O6)[C@]51[H])=O,4.2,2,2,1,38,48
4059,CC(C#N)(C#N)/N=N/C(C#N)(C#N)C,3.4,7,7,1,0,8
4060,CC1(C)C2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3CC2)N(CCOC(C)=O)C4=CC=CC=C41,4.2,7,7,1,46,51
4061,CC(C=C1)=CC=C1[C@H](/C=C\\C=C/C=C\\2)[C@H]2C3=CC=C(C)C=C3,3.8,10,9,1,27,40
4062,CC(C=C1)=CC=C1[C@H](C=CNC=C2)[C@H]2C3=CC=C(C)C=C3,3.6,10,9,1,23,36
4063,CN([C@H]1C(OC)=O)CC2=C(C3=C1C(CC)=CC=C3)NC4=CC=CC=C42,4.2,10,9,1,30,37
4064,O=C(OC)C[C@H]1C2=CC=CC=C2[C@H]1C/C=C/C=C/C3=CC=C(C)C=C3,3.7,5,5,1,20,44
4065,O=C(OC)C[C@@H]1C2=CC=CC=C2[C@H]1C/C=C/C=C/C3=CC=C(C)C=C3,4.3,5,5,1,20,44
4066,CC[C@H]1[C@@H](CC)C2=C1/C=C\\C=C/C=C\\2,3.8,5,5,1,17,19
4067,ClC1(Cl)[C@@]2(C)/C=C\\CCCC[C@]21C,3.3,4,4,1,9,10
4068,O=C(/C=C\\C1=CC=CC(C)=C1)OC[C@@H]2[C@@H](COC(/C=C/C3=CC(C)=CC=C3)=O)C2(Cl)Cl,5.7,4,4,1,10,43
4068-2,O=C(/C=C\\C1=CC=CC(C)=C1)OC[C@@H]2[C@H](COC(/C=C/C3=CC(C)=CC=C3)=O)C2(Cl)Cl,4.5,4,4,1,10,43
4069,CC(C=C1)=CC=C1[C@@H]2[C@H](C(NC3=C(CC)C=CC=C3)=O)[C@]2(Br)Cl,3.4,4,4,1,12,34
4070,CC(C=CC=C1)=C1[C@H]2[C@@]3([H])[C@@](C3(Br)Br)(C4=CC=C(C)S4)OC5=CC=CC=C52,6.1,4,4,0,24,37
4071,ClC1(Cl)[C@]2(C)CC[C@@]3([H])[C@@]([C@@H]3C4=NC(CC)=NO4)([H])CC[C@@]21C,3.1,4,4,1,11,12
4072,O=C(OC)[C@@]12[C@@](CC2)(C(OC)=O)C=CC=C1,3.6,1,1,1,19,24
4073,ClC1=CC=C(CC[C@@]2([C@H](C3=CC(Cl)=C(C)C(Cl)=C3)C2(Br)Br)C([H])=O)C=C1C(NCC(F)(F)F)=O,2.5,4,4,1,14,44
4074,O=C(C1=C2N3[C@]([C@@](N4C)([H])[C@@]4([H])C3)(OC)[C@H]1COC(N)=O)C(NCCSSCCNC5=CC(C6=C([C@H](COC(N)=O)[C@@]7(OC)N6C[C@]8([H])[C@@]7([H])N8C)C5=O)=O)=CC2=O,3.6,7,7,1,7,51
4075,C[C@]1(CC[C@H]2CC)C2N1S(C(C)(C)C)(=O)=O,6.2,9,4,0,3,15
2258,O=C1[C@@]2(C(NCC(OC)=O)=O)[C@@](N2)(C)C3=C1C=CC(OC4=CC=CC=C4)=C3,4.4,9,4,1,4,38
4077,C[C@@]12[C@@](N2C(OCC)=O)(C)[C@]3([H])[C@@]1([H])[C@H](C4=CC=CC=C4)N3,3.7,9,4,1,3,5
4078,O=C(N[C@@H](C(NCCC(C)C)=O)CC(C)C)[C@H]1O[C@@H]1C(OCC)=O,6.1,9,4,0,12,52
4078-2,O=C(N[C@@H](C(NCCC(C)C)=O)CC(C)C)[C@@H]1O[C@@H]1C(OCC)=O,6.1,9,4,0,12,52
4079,C[C@]1(C(/C=C\\C)=C)[C@@H](C(OCC)=O)O1,6.1,9,4,0,3,13
4080,C[C@]1(C2=CC=CC=C2)[C@H](C(OCC)=O)C1(Cl)Cl,5,4,4,1,3,13
4081,CC1(C)C2(OC(C=C(C(OC)=CC=C3)C3=C4)=C4C=C2)N(CCOC(C)=O)C5=CC=CC=C51,4.3,6,6,1,41,54
4082,CN1C2=CC=C(/C=C/C3=CC=C(OC(CC)O4)C4=C3)C=C2C(C)(C)C15OC(C(OC(C)=O)=CC([N+]([O-])=O)=C6)=C6C=C5,5,6,6,1,36,65
4083,CC1(C)C2(SC(C(C=CC=C3)=C3C(C)=C4)=C4C=C2)N(CCOC(C)=O)C5=CC=CC=C51,5.9,6,6,0,39,54
