Molecule,SMILES,Force,Predicted Type 0,Predicted Type,Result,BeginAtom,EndAtom
2076,O=C(OC)C1=CC=C(S1)[C@@H]2[C@@H](C(OC)=O)C[C@H]2C3=CC=C(C(OC)=O)C(F)=C3,5,1,1,1,24,28
2100,O=C(OC)[C@H]1[C@]2(C(N(C)C3=C2C=CC=C3)=O)[C@](C4=O)(C(C=CC=C5)=C5N4C)[C@@H]1C(OC)=O,5.8,1,1,1,8,12
2101,O=C(OC)[C@H]1[C@]2(C(NC3=C2C=CC=C3)=O)[C@](C4=O)(C(C=CC=C5)=C5N4)[C@@H]1C(OC)=O,5.8,1,1,1,8,12
2138-2,CC(OCC[C@]1([C@H]2C3C(OC(C)=O)=C4C(C=C(C=CC=C5)C5=C4)=C2)C6=CC7=C(C=CC=C7)C=C6[C@@H]3C=C1)=O,2.5,2,2,1,16,57
2176,O=C1N(C2=CC=C(OC(C)=O)C=C2)C([C@]3([H])[C@H](C)C(C#N)=C4[C@@](C=C(OC(C)=O)S4)([H])[C@@]31[H])=O,5.2,2,2,0,28,44
2194,O=C(N1CCOCC)[C@H]([C@@H]2C1=O)[C@@]3(C#CC4=CC=C(C#C[C@@]5([C@@H](C(N6CCOCC)=O)[C@H]7C6=O)C8=CC=CC=C8[C@H]7C9=C5C=CC=C9)C%10=NSN=C4%10)C%11=CC=CC=C%11[C@@H]2C%12=C3C=CC=C%12,4.1,2,2,1,40,86
2199,O=C1N(CCOC(C)=O)C([C@]2(C#N)[C@]3(COC(C)=O)C(C=CC=C4)=C4[C@@H](O3)[C@@]21C#N)=O,3.6,2,2,1,18,33
2206,C/C=C/[C@H]1[C@@H](/C=C/C)C1(Cl)Cl,2.9,4,4,1,8,13
2206-,C=C[C@H]1[C@H](/C=C/C)C1(Cl)Cl,4.6,4,4,0,8,13
2213,CC#C[C@H]1[C@@H](C#CC)[C@@]1(Br)F,1.9,4,4,1,8,13
2214,CC#C[C@H]1[C@H]([C@]1(Br)Cl)C#CC,2.2,4,4,1,8,13
2215,CC#C[C@H]1[C@H]([C@]1(Cl)F)C#CC,2,4,4,1,8,13
2231,C[C@@]12[C@@](C2(Cl)Cl)(C)CCCC1,2.9,4,4,1,4,5
2231-3,C[C@@]1([C@@]2(C1(Cl)Cl)[H])CC[C@@H]2C,5.1,4,4,1,5,12
2239,ClC1(Cl)[C@@]2(C)[C@@]1(CCC2)C3=C(CCOCC)C=C(OCO4)C4=C3,3.4,4,4,1,4,34
2243,CC(O[C@H](C1(F)F)[C@]1([H])C2=CC=C([C@@](C3(F)F)([H])[C@@H]3OC(C)=O)C=C2)=O,4.5,4,4,1,30,34
2244,FC(F)([C@@]12CC[C@]3(CC2)[C@@H](C3(F)F)COC(C)=O)[C@H]1COC(C)=O,3.6,4,4,1,18,22
2255,O=C(N(N1[C@@H](CCC)[C@@]1(C)CCC)C2=O)C3=C2C=CC=C3,4.5,9,4,1,9,13
2255-2,O=C(N(N1[C@@H](CCC)[C@]1(C)CCC)C2=O)C3=C2C=CC=C3,5.8,9,4,1,8,12
2272-2,O=C([C@@]1([C@@H](O1)C2=CC=C(C=C2)C(OC)=O)C3=CC=CC=C3)OC,5,9,4,0,23,34
2272-3,O=C([C@]1([C@@H](O1)C2=CC=C(C=C2)OCC)C3=CC=CC=C3)OC,4.7,9,4,1,23,34
2281,O=C1OCCCCCCOC([C@@H]2[C@H]1[C@@H]([C@H]3CC[C@H](CC)CC3)[C@H]2[C@H]4CC[C@H](CC)CC4)=O,3.6,1,1,1,46,47
2282,CC(O[C@H]1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)[C@H]1OC(C)=O)=O,3.4,5,5,1,31,36
2283,CC(O[C@@H]1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)[C@H]1OC(C)=O)=O,3.9,5,5,1,31,36
