Molecule,SMILES,Force,Predicted Type,Result,BeginAtom,EndAtom
741,CCC1=C[C@@H]2C[C@](C(CC)=O)(C#N)[C@H]1C2,5,2,0,13,23
742,CC1(C)[C@]2(/C=C/C3=C(Cl)/C(CCC3)=C/C=C4C(C)(C)C(C=CC=C5)=C5N\\4C)N(CC(C=CC=C6NC(C(CC)(C)C)=O)=C6O2)C7=CC=CC(C(OC(C)(C)CC)=O)=C71,5.2,6,1,45,111
743,CC1(C)C2(/C=C/C3=C(Cl)C=C(N(C)C)C=C3)N(CC(C=C([N+]([O-])=O)C=C4OCC)=C4O2)C5=CC=CC(C(OC)=O)=C51,4.8,6,1,33,64
744,CC1(C)C2=CC(OC(C3=CC=C(OCC)C=C3)=O)=CC=C2N(C)[C@]14C=CC(C=CC=C5OC(C6=CC=C(OCC)C=C6)=O)=C5O4,5.1,6,1,51,73
745,CCOC(C=C1)=CC=C1[C@@]2(C3=C(C=CC=C4)C4=CC=C3)C=CC5=C6C(C=CC=C6)=CC(COC(C)=O)=C5O2,4.4,6,1,21,49
746,CC(OCC1=C2C(C=C[C@](C3=C(C=CC=C4)C4=CC=C3)(C5=CC=C(CC)S5)O2)=C6C(C=CC=C6)=C1)=O,4.2,6,1,21,45
747,CC(OCC1=C2C(C=C[C@](C3=C(C=CC=C4)C4=CC=C3)(C5=CC=C(N(CC)C)C=C5)O2)=C6C(C=CC=C6)=C1)=O,4.2,6,1,21,49
749,CN1C2=CC=C(C3=CC(OC)=C(CCC)S3)C=C2C(C)(C)[C@]14OC(C=CC(C5=CC(OC)=C(CCC)S5)=C6)=C6C=C4,6.3,6,0,52,70
750,CN1C2=CC=C(C3=C(OC)C=C(CCC)C(OC)=C3)C=C2C(C)(C)[C@]14OC(C=C5C(O[C@]6(C(C)(C)C(C=C(CCC)C=C7)=C7N6C)C=C5)=C8)=C8C=C4,6.2,6,0,45,88
751,CN1C2=CC=C(CCC)C=C2C(C)(C)[C@]13OC(C=CC(C4=CC(C(C)(C)C5=C6C=CC(CCC)=C5)=C6C=C4)=C7)=C7C=C3,6.3,6,0,69,77
752,CN1C2=CC=C(CCC)C=C2C(C)(C)[C@]13OC(C(C4=CC(C(C)(C)C5=C6C=CC(CCC)=C5)=C6C=C4)=CC=C7)=C7C=C3,5.3,6,1,70,78
753,CN1C2=CC=C(C3=CC=C(C4=CC=C(O)C(C5=CC=C(CCC)C=C5O)=C4)C=C3)C=C2C(C)(C)[C@]16OC(C=CC(C7=CC=C(CCC)C=C7)=C8)=C8C=C6,6.3,6,0,79,94
754,CN1C2=CC=C(C3=CC=C(OCC)C=C3)C=C2C(C)(C)[C@]14OC(C=CC(C5=CC=C(OCC)C=C5)=C6)=C6C=C4,6.4,6,0,60,68
755,CN1C2=CC=C(C(OC)=O)C=C2C(C)(C)[C@]13OC(C(CC(C(CC)=C)=O)=CC([N+]([O-])=O)=C4)=C4C=C3,5.2,6,1,50,58
756,CC1(C)[C@]2(SC(C(COC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCOC(C)=O)C4=CC=CC=C41,2.3,6,1,45,55
757,CN1C2=CC=C(CCC)C=C2C(C)(C)[C@]13OC(C(C(OC(C)=O)=CC=C4O)=C4C=C5)=C5C=C3,4.9,6,1,37,56
758,CC1(C)[C@]2(OC(C(C=CC=C3CC(CCCC)C4)=C3C4=C5)=C5C=C2)N(CC)C6=CC=CC=C61,6.1,6,0,56,62
759,CC1(C)[C@]2(SC(C(OCC)=CC([N+]([O-])=O)=C3)=C3C=C2)N(C)C4=CC=C(OCC)C=C41,2.1,6,1,39,45
760,CC(OC(C=C1)=CC=C1[C@]2(C3=CC=C(N4CCCC4)C=C3)C=CC5=CC6=CC=CC=C6C(CCCOC(C)=O)=C5O2)=O,3.6,6,1,54,70
761,CCC(C=C1)=CC=C1[C@@]2(C3=CC=CC=C3)C=CC4=C5C(C=CC=C5OC(C)=O)=CC=C4O2,5.1,6,0,40,50
762,COC1=C2C(C=C[C@](C3=CC=CC=C3)(C4=CC=C(OC)C=C4)O2)=C5C(C=CC=C5)=C1,4.6,6,1,40,46
763,CC1(C)[C@]2(OC(C(CC)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCC(NCCN4C(C5=C6C(C4=O)=CC=CC6=CC(OC(C)=O)=C5)=O)=O)C7=CC=CC=C71,3.3,6,1,36,80
764,CC(OCC1=CC(C=CC=C2)=C2C3C1O[C@](C4=CC=C(OCCOC(C)=O)C=C4)(C5=CC=CC=C5)CC3)=O,4.3,6,1,47,61
766,CC(OC1=CC([N+]([O-])=O)=CC(C=C2)=C1O[C@]32N(CCOC(C)=O)C4=CC=CC=C4C35CCCCC5)=O,3.2,6,1,33,46
767,CC1(C)[C@]2(OC(C([N+]([O-])=O)=CC(NC(CC)=O)=C3)=C3C=C2)N(CCOC(C)=O)C4=CC=CC=C41,4.5,6,0,45,62
770,CC1(C)[C@]2(OC(C(C(O)=O)=CC(COC(C)=O)=C3)=C3C=C2)N(CCOC(C)=O)C4=CC=CC=C41,5.9,6,0,43,58
771,CC1(C)[C@]2(OC(C(C(OC(C)=O)=CC(C(F)(F)F)=C3)=C3C=C4)=C4C=C2)N(CCCOC(C)=O)C5=CC=CC=C51,3.6,6,1,41,54
773,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC(C=O)=C3)=C3C=C2)N(CCOC(C)=O)C4=C1C=CC=C4,3,6,1,43,52
774,CC(OCCN([C@]1(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C2)=C2C=C1)S3)C4=C3C=CC=C4)=O,2.8,6,1,35,43
775,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC3=C4C=C(O)C=C3)=C4N=C2)N(CCOC(C)=O)C5=CC=CC=C51,3.8,6,1,40,49
776,CC1(C)[C@]2(OC(C(C(OC(C)=O)=CC=C3)=C3C4=C5C=CC=C4)=C5N=C2)N(CCOC(C)=O)C6=CC=CC=C61,4.3,6,1,39,53
777,O=C(C)OCCN1C2=CC=CC=C2S[C@]13OC(C(C(OC(C)=O)=CC(C(F)(F)F)=C4)=C4C5=C6C=CC=C5)=C6N=C3,3.4,6,1,31,45
778,CC1(C)[C@]2(OC(C(C(OC(C)=O)=CC=N3)=C3C4=C5C=CC=N4)=C5N=C2)N(CCOC(C)=O)C6=CC=CC=C61,3.9,6,1,39,52
779,O=C(C)OCCN1[C@@]2(OC(C(C(OC(C)=O)=CC=N3)=C3C4=C5C=CC=N4)=C5N=C2)C(C6)C[C@H]7C[C@@H]1C[C@@H]6C7,3.5,6,1,25,38
780,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC(C(F)(F)F)=C3)=C3C=C2)N(CCOC(C)=O)C4=CC=CC=C41,3.2,6,1,34,46
781,CC1(C)[C@@]2(OC(C(O)=CC3=C4C=C(OCC(OCC)=O)C=C3)=C4N=C2)N(CCOC(C)=O)C5=CC=CC=C51,5.3,6,0,45,66
782,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC=C3S(=O)(O)=O)=C3C=C2)N(CCOC(C)=O)C4=CC=CC=C41,3,6,1,34,46
783,CC1(C)C2=C(C=CC=C2)N(CCOC(C)=O)[C@@](O3)1C=CC4=C3C(OC5=O)C(C6=C4O[C@@]7(C(C)(C)C(C=CC=C8)=C8N7CCOC(C)=O)C=C6)C9=C5C=CC=C9,3.4,6,1,37,82
784,CC1(C)C2=C(C=CC(Cl)=C2)N(CCOC(C)=O)[C@@](O3)1C=CC4=C3C(OC5=O)C(C6=C4O[C@@]7(C(C)(C)C(C=C(Cl)C=C8)=C8N7CCOC(C)=O)C=C6)C9=C5C=CC=C9,3.5,6,1,37,81
785,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC(C(O)=O)=C3)=C3C=C2)N(CCOC(C)=O)C4=CC=CC=C41,3.2,6,1,34,46
786,CC1(C)[C@@]2(OC(C3=NC(C(OC(C)=O)=CC=C4)=C4S3)=CC([N+]([O-])=O)=C2)N(CCOC(C)=O)C5=CC=CC=C51,3.6,6,1,34,53
787,CC1(C)[C@@]2(OC(C3=NC(C4=C(OC(C)=O)C=CC=C4)=C(C5=CC=CC=C5)O3)=CC([N+]([O-])=O)=C2)N(CCOC(C)=O)C6=CC=CC=C61,2.9,6,1,34,75
788,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC3=C4C=CC=C3)=C4N=C2)N(CCOC(C)=O)C5=CC=CC=C51,3.9,6,1,33,45
789,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC3=C4C=CC=[N+]3CC5=CC=C(C)C=C5)=C4C=C2)N(CC6=CC=C(OCC)C=C6)C7=CC=CC=C71,1.6,6,1,33,61
790,CN1C2=CC=C(OC(C)=O)C=C2C(C)(C)[C@]13OC(C(OC(CCCC)=O)=CC([N+]([O-])=O)=C4)=C4C=C3,4.6,6,1,41,56
791,CC1(C)[C@]2(OC(C(C=C(OC(C)=O)C=C3)=C3C4=C5C=CC=C4)=C5N=C2)N(CCOC(C)=O)C6=CC=CC=C61,4.1,6,1,39,60
792,CC1(C)[C@]2(OC(C(C=CC(OC(C)=O)=C3)=C3C4=C5C=CC=C4)=C5N=C2)N(CCOC(C)=O)C6=CC=CC=C61,4.7,6,1,39,62
793,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCC(OC4=CC=C(/C(C5=CC=C(O)C=C5)=C(C6=CC=C(OCC)C=C6)\\C7=CC=CC=C7)C=C4)=O)C8=CC=CC=C81,3.1,6,1,34,101
794,CN1C2=CC=C(C#CCCC)C=C2C(C)(C)[C@]13OC(C=C(C#CCCC)C=C4)=C4C=C3,6.2,6,1,45,56
795,CN1C2=CC=C(OC(OCC)=O)C=C2C(C)(C)[C@@]13OC(C(OC(OCC)=O)=CC([N+]([O-])=O)=C4)=C4C=C3,4.7,6,1,48,56
796,O=C(C)OC1=CC=CC2=CC=C3C(C=C[C@@]4(C5=CC=CC=C5C6=C4C(OC(C)=O)=CC=C6)O3)=C21,5,6,0,40,47
797,O=C(C)OC1=CC=CC2=CC=C3C(C=C[C@@]4(C5=CC=CC=C5C6=C4C=C(OC(C)=O)C=C6)O3)=C21,5.1,6,0,40,47
798,O=C(C)OC1=CC=CC2=CC=C3C(C=C[C@@]4(C5=CC=CC=C5C6=C4C=CC(OC(C)=O)=C6)O3)=C21,5.1,6,0,37,46
799,O=C(C)OCCOC1=C2C(C=C[C@](C3=CC=CC=C3)(C4=CC=CC=C4OC(C)=O)O2)=C5C(C=CC=C5)=C1,5.5,6,1,28,58
800,O=C(C)OCCOC1=C2C(C=C[C@](C3=CC=CC=C3)(C4=CC=CC(OC(C)=O)=C4)O2)=C5C(C=CC=C5)=C1,4.6,6,1,28,58
801,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCOC([C@@H]4CC5C(CC)=CC4C5)=O)C6=CC=C(OC)C=C61,3.4,6,1,40,64
802,CC(OCCN1C2=CC(S(=O)(O)=O)=CC(S(=O)(O)=O)=C2C[C@@]13OC(C(OC(C)=O)=CC(S(=O)(O)=O)=C4)=C4C=C3)=O,3.5,6,1,37,50
803,CC1(C)[C@@]2(OC(C(OCCOC(C)=O)=CC3=C4C=C(O)C=C3)=C4N=C2)N(CCN5N=NC(C6=CC(OCC7=CC(O)=CC(OCC)=C7)=CC(OCC8=CC=CC=C8)=C6)=C5)C9=CC=CC=C91,3.9,6,1,85,109
804,CC1(C)[C@@]2(OC(C(CCOC(CCCC)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCOC(CCCC)=O)C4=CC=CC=C41,3.1,6,1,64,72
805,CC1(C)[C@@]2(OC(C(CCOC(CCC)=O)=CC=C3)=C3C=C2)N(CCOC(CCCC)=O)C4=CC=C(OCC)C=C41,3.6,6,1,69,77
806,O=C(NCC1=CC(CC2=CC(N=C=O)=C(OC(C)=O)C=C2)=CC=C1)OCCN3C4=CC=CC=C4C[C@@]35OC(C(COC(NC6=CC=CC(CC7=CC=C(OC(C)=O)C(N=C=O)=C7)=C6)=O)=CC=C8)=C8C=C5,3.6,6,1,87,97
807,CC1(C)[C@@]2(OC(C(OC([C@@H]3CC4C(CC)=CC3C4)=O)=CC([N+]([O-])=O)=C5)=C5C=C2)N(CC)C6=CC=C(OC(C7C8C(CC)=CC(C8)C7)=O)C=C61,4.5,6,1,65,81
808,O=C(C)OCC1=CC2=C3C(C=C[C@](C4=CC=CC=C4)(C5=CC=CC(OC(C)=O)=C5)O3)=CC=C2C=C1,4.6,6,1,17,54
809,CC(OC1=CC([C@@]2(C3=CC=CC=C3)C=CC4=CC=C5C(C=CC(COC(C)=O)=C5)=C4O2)=CC=C1)=O,5.1,6,1,43,54
810,CC1(C)[C@@]2(SC(C=CC(COC)=C3)=C3C=C2)N(CCOC)C4=CC=CC=C41,5.7,6,0,37,48
811,CN1C2=CC=C(OC(C)=O)C=C2C(C)(C)[C@@]13SC(C(OC(C)=O)=CC(C)=C4)=C4C=C3,3.7,6,1,43,51
812,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCC[NH+](C)C)C4=CC=C(C=O)C=C41.[Br-],3.6,6,1,38,63
813,CC1(C)[C@@]2(OC(C=C(C3=CC(OC4=C5C=CC(OCC)=C4)=C5C=C3)C=C6)=C6C=C2)N(CCOC(C)=O)C7=CC=CC=C71,4.7,6,1,40,66
814,CC1(C)[C@]2(OC(C=C(C3=CC(N(COC(C)=O)C4=C5C=CC=C4)=C5C=C3)C=C6)=C6C=C2)N(CCOC(C)=O)C7=CC=CC=C71,5.1,6,1,40,76
815,CC1(C)[C@@]2(OC(C=C(C3=CC(OC4=C5C(OCC)=CC=C4)=C5C=C3)C=C6)=C6C=C2)N(CCOC(C)=O)C7=CC=CC=C71,4.7,6,1,40,69
816,CC1(C)[C@@]2(OC(C=C(N3C(C=CC(OC(C)=O)=C4)=C4C5=C3C=CC=C5)C=C6)=C6C=C2)N(CCOC(C)=O)C7=CC=CC=C71,4.8,6,1,40,70
817,CC1(C)[C@]2(OC(C=C(N3C(C=CC=C4OCC)=C4C5=C3C=CC=C5)C=C6)=C6C=C2)N(CCOC(C)=O)C7=CC=CC=C71,4.4,6,1,40,68
818,CN1C2=CC=C(C3=CN4C(C=C(OCC)C=C4)=N3)C(O)=C2C(C)(C)[C@]15OC(C(OC(C)=O)=CC(C#N)=C6)=C6C=C5,4.7,6,1,52,63
819,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCOC(NCCOC(C(OCC)(C)CC(C)(C)C(OC)=O)=O)=O)C4=CC=CC=C41,3.4,6,1,38,83
820,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3N=C2)N(CCOC(C)=O)C4=CC=CC=C41,3.4,6,1,34,46
821,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CC(C)(C)CCC(CCC4=CC=CC(C)=C4)C5=CC=CC=C5)C6=CC=CC=C61,2.5,6,1,34,87
822,CC1(C)[C@@]2(OC(C(CCOC(C3=CC(C=C(OC(C)=O)C=C4)=C4C=C3)=O)=CC=C5)=C5C=C2)N(CCOC(C6=CC(C=C(OC(C)=O)C=C7)=C7C=C6)=O)C8=CC=CC=C81,3.7,6,1,62,93
823,CC1(C)[C@]2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CC4=CC=C(C=CC(OC(C)=O)=C5)C5=C4)C6=CC=CC=C61,3.7,6,1,38,65
1005,CC1(C)[C@]2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCOC(CCCCC4C(CC)SCS4)=O)C5=CC=C(OC)C=C51,2.7,6,1,38,79
1006,CN1C2=CC=C(C3=CC=C(C(OC(C)=O)=C4)C5=C3C=CC6=C5C4=CC=C6)C=C2C(C)(C)[C@@]17OC(C(OC(C)=O)=CC(C#N)=C8)=C8C=C7,4.7,6,1,35,71
1007,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC(C#N)=C3)=C3C=C2)N(CCOC(C)=O)C4=CC=CC=C41,3,6,1,35,51
1009,CN1C2=CC=C(O/C(C(CC)=C)=C/C)C=C2C(C)(C)[C@]13OC(C(OC(C(CC)=C)=O)=CC([N+]([O-])=O)=C4)=C4C=C3,5,6,1,52,69
1010,CC1(C)[C@]2(SC(C=CC(OC(C)=O)=C3)=C3C=C2)N(CCOC(C)=O)C4=CC=CC=C41,5.1,6,0,38,50
1011,CC1(C)[C@@]2(OC(C=CC(CC3C(NC)=O)=C4OC3=O)=C4C=C2)N(CCOC(C)=O)C5=CC=CC=C51,5.6,6,0,42,56
1012,CC(OC(C=C1)=CC=C1[C@@]2(C3=CC=CC=C3)C=CC4=C5C(C=CC([N+]([O-])=O)=C5)=CC(OC(C)=O)=C4O2)=O,4.2,6,1,39,47
1014,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC(C3=C(C=CC=C4)C4=CC5=C3C=CC=C5)=C6)=C6C=C2)N(CCOC(C)=O)C7=CC=CC=C71,3.5,6,1,35,50
1015,CC1(C)[C@@]2(OC(C=C(C3=CC4=C(C=C3)C=C5C(C=C(OC(C)=O)C=C5)=C4)C=C6)=C6N=C2)N(CCOC(C)=O)C7=CC=CC=C71,5.5,6,1,40,69
1016,CC1(C)[C@]2(OC(C=C(C3=C(C=CC=C4OC(C)=O)C4=CC5=C3C=CC=C5)C=C6)=C6N=C2)N(CCOC(C)=O)C7=CC=CC=C71,5.7,6,1,40,72
1017,CC1(C)[C@]2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CC4=CC=C(C(OC)=O)C=C4)C5=CC=C(OC)C=C51,2.3,6,1,38,64
1018,CC(OC(C=C1)=CC=C1[C@@]2(C3=CC=CC=C3)C=CC4=C5C(C=C(COC(N)=O)C=C5)=CC(OC(C)=O)=C4O2)=O,4.3,6,1,34,47
1019,CC1(C)[C@@]2(OC3=C(C=C(C=O)C=C3C4=NC(C=CC(OC(C)=O)=C5)=C5S4)C=C2)N(CCOC(C)=O)C6=CC=CC=C61,2.8,6,1,43,63
1020,CC(OC(C=C1)=CC=C1[C@@]2(C3=CC=CC=C3)C=CC4=C5C(C(C=CC=C6)=C6C5)=C7C(C=C(OC(C)=O)C=C7)=C4O2)=O,4.1,6,1,40,62
1021,CC1(C)[C@@]2(OC(C(COC(C(C)Br)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCOC(C(C)Br)=O)C4=CC=CC=C41,2.9,6,1,45,60
1022,CN1C2=CC=C(OC(C=C3)=CC=C3/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=C(CC)S6)C=C2C(C)(C)[C@]17OC(C(OC(C)=O)=CC([N+]([O-])=O)=C8)=C8C=C7,4.9,6,1,38,90
1023,CC1(C)[C@]2(SC(C(CC)=CC=C3)=C3C=C2)N(CCOC(C)=O)C4=CC=C(O)C=C41,2.7,6,1,42,49
1024,CC1(C)[C@]2(OC(C(OC(C)=O)=CC3=C4C=CC=C3)=C4N=C2)N(CCOC(C)=O)C5=CC=CC=C51,3.9,6,1,40,49
1025,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC(C3=CC=C(OCCOC4=CC=CC=C4)C=C3)=C5)=C5C=C2)N(CCOC(C)=O)C6=CC=CC=C61,3.6,6,1,37,49
1026,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC3=C4C=CC([N+]([O-])=O)=C3)=C4C=C2)N(CC5=CC=C(OCC)C=C5)C6=CC=CC=C61,2.5,6,1,33,60
1027,CC1(C)[C@]2(OC(C(OC(C)=O)=CC(C3=CC=C(C(C=CC=C4)=C4C5(CCCC)CCCC)C5=C3)=C6)=C6C=C2)N(CCOC(C)=O)C7=CC=CC=C71,3.5,6,1,37,49
1029,CC1(C)[C@]2(OC(C3=CC(OC(C)=O)=CC=C3)=CC=C2)N(CCOC(C)=O)C4=CC=CC=C41,3.7,6,1,33,64
1030,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CC4=CC=C(OCCOC5=CC=C(OCC)C=C5)C=C4)C6=CC=CC=C61,2.6,6,1,38,60
1031,CN1C2=CC3=C(C=C(OCC)C=C3)C=C2C(C)(C)[C@@]14OC(C(OC(C)=O)=CC([N+]([O-])=O)=C5)=C5C=C4,4.5,6,1,36,55
1032,CC1(C)[C@@]2(OC(C(OC(C)=O)=CC([N+]([O-])=O)=C3)=C3C=C2)N(CCOC(C4=CC(OCC5=CC=C(OCC)C=C5)=CC(OCC6=CC=CC=C6)=C4)=O)C7=CC=CC=C71,2.6,6,1,34,93
1033,CC1(C)C2(C3=CC=CC=C3)N(CC(C=C([N+]([O-])=O)C=C4OCC)=C4O2)C5=CC=CC(OCC)=C51,3.5,6,1,33,45
1034,CC1(C)C2(/C=C/C3=CC=CC=C3O)N(CC(C=C([N+]([O-])=O)C=C4OCC)=C4O2)C5=CC=CC(OCC)=C51,3,6,1,33,42
1035,CC1(C)C2(/C=C/C3=CC=C([N+]([O-])=O)C=C3O)N(CC(C=C([N+]([O-])=O)C=C4OCC)=C4O2)C5=CC=CC(OCC)=C51,2.9,6,1,33,42
1036,CC1(C)C2(/C=C/C3=C(O)C=C([N+]([O-])=O)C=C3O)N(CC(C=C([N+]([O-])=O)C=C4OCC)=C4O2)C5=CC=CC(OCC)=C51,3.5,6,1,33,42
2001,O=C(C)O[C@@]1(F)[C@](OC(C)=O)(F)[C@]2(F)[C@@]3([H])[C@]4([H])CC[C@]4([H])[C@@]3([H])[C@@]21F,3.4,1,0,23,24
2002,O=C(C)O[C@@]1([H])[C@](OC(C)=O)([H])[C@]2([H])[C@@]3(F)[C@]4(F)CC[C@]4(F)[C@@]3(F)[C@@]21[H],3.6,1,1,23,24
2003,O=C(N1CCOC(C)=O)C2=C(C=CC=C2)[C@]31C4=CC=C(N(CCOC(C)=O)CC)C=C4OC5=C3C=CC=C5,5.1,7,1,42,66
2004,O=C(N1CCOC(C)=O)C2=C(C=CC=C2)[C@]31C4=CC=C(N(CCOC(C)=O)CC)C=C4OC5=C3C=CC(N(CC)CC)=C5,4.9,7,1,42,65
2005,O=C(N1CCOC(C)=O)C2=C(C=CC=C2)[C@]31C4=CC=C(N(CCOC(C)=O)CC)C=C4OC5=C3C=CC(OC)=C5,5.1,7,1,42,65
2006,O=C(N1CCOC(C)=O)C2=C(C=CC=C2)[C@]31C4=CC=C(N(CCOC(C)=O)CC)C=C4OC5=C3C=CC6=C5C=CC=C6,5.1,7,1,41,64
2007,CCN(CCC(C(OC)=O)C(C(OC)=O)C)C1=CC2=C(C=C1)[C@@]3(N([C@@H]([C@H](C(OC)=O)C)C(OC)=O)C(C4=C3C=CC=C4)=O)C=C(C5=CC6=C(C=C(N(CC)CC)C=C6)OC5=O)O2,4.8,7,0,99,113
2008,O=C(N1CCOCC)C2=C(C=CC=C2)[C@@]31C4=CC(C)=C(NCC)C=C4OC5=C3C=C(C)C(N(CC)CCOC)=C5,4.9,7,1,39,69
2009,O=C(N1NCOCC)C2=C(C=CC=C2)C31C4=CC=C(N(CC)CC)C=C4OC5=C3C=C(C6=NC(C=CC=C7)=C7N6CCCOC)C(O)=C5,4.5,7,1,38,88
2010,O=C(OC)C(C=C1)=CC=C1N2C(O[C@@H](OCCOC(C(C)(C)C[C@@H](C(OC)=O)Br)=O)C[C@@H]3C4=CC=CO4)=C3C(C(F)(F)F)=N2,5.5,2,1,11,67
2011,O=C(C)OC(C=C1)=CC=C1[C@@]2(C3=CC=CC=C3)OC4=C(C=CC5=C4C6=C(C=CC=C6)N5CCOC(C)=O)C=C2,5.3,6,1,38,59
2012,O=C(C)OCCN1C([C@]2([H])[C@]3(COC(OC4=C(/C=C/C(OC)=O)C=CC([C@@]5(OC)C6([C@H]7C[C@H]8C[C@@H]6C[C@H](C8)C7)OO5)=C4Cl)=O)C=C[C@](O3)(OC9=CC=C(OCCOC(C)=O)C=C9)[C@]2([H])C1=O)=O,4.3,2,1,25,57
2013,[H][C@]12[C@H]3[C@@](C(OC)=O)([H])C[C@H](O3)[C@@]1([H])N=NN2CC4=CC=C(C(OC)=O)C=C4,3.9,2,1,27,34
2014,[H][C@]12[C@H]3[C@](C(OC)=O)([H])C[C@H](O3)[C@@]1([H])N=NN2CC4=CC=C(C(OC)=O)C=C4,3.3,2,1,27,34
2015,O=C1N(CCOC(C(C)(C)[C@@H](C)C(OC)=O)=O)C([C@]2([H])[C@]3(COC(NC4=CC(OC(C=C5CC)=O)=C5C=C4)=O)C=C[C@](O3)(OC6=CC=C([C@@H](CCCOC(C(C(C)CC(OC)=O)(C)C)=O)OC(C7=CC=C(C(C)=CC(O8)=O)C8=C7)=O)C=C6OC)[C@@]21[H])=O,4.1,2,1,68,101
2016,O=C1N(CC(O)COCC)C([C@]2([H])[C@]3(COCC)C=C[C@@H](O3)[C@@]21[H])=O,3.9,2,1,29,40
2019,O=C1N(CC)C([C@]2([H])[C@@H]3C=C[C@](S3)(CC)[C@@]21[H])=O,4.6,2,1,18,22
2020,O=C1N(CCOC(C)=O)C([C@]2([H])[C@@H]3C=C[C@](S3)(COC(C)=O)[C@@]21[H])=O,4.5,2,1,29,35
2021,O=C1N(C)C([C@]2([H])[C@@H]3C=C[C@](O3)(C)[C@@]21[H])=O,4,2,1,17,18
2022,O=C1N(CCOC(C)=O)C([C@]2([H])[C@@H]3C=C(COC(C)=O)[C@@H](S3)[C@@]21[H])=O,6,2,0,24,34
2023,O=C1N(CCOC(C)=O)C([C@@]2([H])[C@@H]3C=C[C@](S3)(COC(C)=O)[C@]21[H])=O,4.6,2,1,29,35
2024,O=C1N(CCOC(C)=O)C([C@@]2([H])[C@@H]3C=C(COC(C)=O)[C@@H](S3)[C@]21[H])=O,6.1,2,0,24,34
2025,O=C1N(C)C([C@]2([H])[C@@H]3C=C[C@](N3)(C)[C@@]21[H])=O,4.5,2,1,17,18
2026,O=C1N(COC(C)=O)C([C@]2([H])[C@@H]3C=C[C@](C3)(COC(C)=O)[C@@]21[H])=O,4.8,2,1,24,30
2027,O=C1N(CCOC(C)=O)C([C@]2([H])[C@@H]3C=C(COC(C)=O)[C@@H](N3)[C@@]21[H])=O,5.7,2,1,23,33
2028,CC(OC(C=C1)=CC=C1/C=C/[C@@]23C4[C@H](C=CC=C4)[C@H]([C@H](C(N5CCOC(C)=O)=O)C3C5=O)C6=CC=CC=C62)=O,4.3,2,1,43,61
2029,CCOC1=CC([C@]2([H])[C@@](COC3)([H])[C@@H]3[C@@H]2C4=CC(OCC)=CC=C4)=CC=C1,4.5,1,1,12,33
2030,O=C(OCCCCOC(C)=O)C1=C(C(OCCCCOC(C)=O)=O)C2C3=C(C1C=C2)C(C4=CC=CC=C4)=C(C=CC=C5)C5=C3C6=CC=CC=C6,6.1,7,0,62,84
2031,O=C(C)C1=C(C(C)=O)C2C3=C(C=CC=C3)C1C4=C2C=CC=C4,5.5,7,0,23,28
2032,O=C(CC(C)(C)C(C(OC)=O)C)O[C@H]1C2=C(OC(C)=O)C=CC=C2C1,4.2,1,0,15,45
2033,O=C1N(CCOC(C(C)(C)CC(C(OC)=O)CC)=O)C([C@]2(SCCC)[C@@]3(SCCC)[C@@](C(N(CCOC(C(C)(C)C[C@@H](C(OC)=O)CC)=O)C3=O)=O)(SCCC)[C@@]21SCCC)=O,6.3,1,0,56,74
