Molecule,Force,Ave_BondLength,Ave_CosbondLength,Ave_MayerBonds,ReactionRingAtoms,BrokenInRatio,BondType,Ave_MullikenCharge1,Ave_MullikenCharge2
2168,4.3,1.591378841,1.4743,1.01000012,14,0.357142857,0,-0.255355,0.080888
2169,4.2,1.580594432,1.4915,0.96810939,8,0.375,0,-0.077319,0.007136
2170,3.7,1.560385207,1.559,0.90152271,10,0.3,0,0.018994,0.249356
2171,3.5,1.558788566,1.5574,0.89783364,10,0.3,0,0.01859,0.259718
2172,3.6,1.560809866,1.5597,0.89984014,10,0.3,0,0.039431,0.276517
2173,3.7,1.587844607,1.3208,0.9803016,8,0.375,0,-0.041978,-0.002686
2174,4.7,1.576821778,1.3198,1.03199581,9,0.333333333,0,-0.042727,-0.005496
2177,6.2,1.555555624,1.2642,1.04074669,9,0.444444444,0,0.012883,0.260498
2178,4.4,1.595578142,1.4007,0.98742,9,0.33333333,0,-0.150346,-0.028223
2179,3.4,1.610903486,1.4817,1.01677052,10,0.3,0,-0.119703,0.125221
2181,2.8,1.575544979,1.5228,0.96969187,5,0.2,0,0.247855,0.271422
2182,4.2,1.588605858,1.4891,0.97241238,8,0.375,0,-0.032691,-0.001423
2183,3.6,2.078391988,1.5685,1.10780594,0,0,6,-0.066173,-0.065554
2187,4.3,1.592807697,1.3633,0.97563891,8,0.375,0,-0.164378,-0.025754
2189,3.4,1.591779808,1.4227,0.99965703,9,0.222222222,0,0.001168,0.075076
2190,2.9,1.590597735,1.4213,0.99902012,9,0.222222222,0,-0.009808,0.075006
2191,4,1.607410063,1.5233,0.94279489,8,0.375,0,-0.014318,0.102116
2192,4,1.580218242,1.3127,0.99458968,8,0.375,0,-0.054289,0.045132
2193,4.4,1.574298394,1.3245,1.01646171,8,0.375,0,-0.075792,0.002039
2195,4.1,1.594144143,1.5042,0.97287469,8,0.375,0,0.00049,0.134898
2200,3.2,1.626171861,1.4561,0.99364775,6,0.166666667,0,-0.265015,-0.032953
2201,4.4,1.584159519,1.3884,1.02418245,9,0.33333333,0,-0.077567,-0.037071
2202,3.9,1.558528929,1.4537,0.94417452,8,0.375,0,-0.021133,-0.001875
2203,6,1.491726345,1.4917,0.95739544,3,0.333333333,0,0.109395,0.109987
2204,4.3,1.51449887,1.5145,0.90546091,3,0.333333333,0,-0.014743,-0.014519
2205,2.1,1.590062495,1.5901,0.77986705,3,0.333333333,0,-0.122155,-0.121929
2207,5.1,1.497032901,1.497,0.88998799,3,0.333333333,0,-0.084122,-0.083635
2208,4,1.541092727,1.5411,0.88670639,3,0.333333333,0,-0.102376,-0.102157
2209,3.3,1.556057378,1.5561,0.82696857,3,0.333333333,0,0.014047,0.014743
2210,4,1.557662936,1.5577,0.83129969,3,0.333333333,0,0.015035,0.015828
2211,1.8,1.588764456,1.5888,0.7816117,3,0.333333333,0,-0.166726,-0.165185
2212,2.1,1.553707663,1.5537,0.83575551,3,0.333333333,0,-0.018364,-0.017242
2216,2.3,1.552708381,1.5525,0.827515,3,0.333333333,0,-0.035133,0.022506
2217,2.8,1.554783488,1.5545,0.85376788,3,0.333333333,0,-0.07153,-0.043519
2218,2.8,1.553398745,1.5531,0.8557493,3,0.333333333,0,-0.103555,-0.084631
2219,2.1,1.542252316,1.5419,0.87081513,3,0.333333333,0,-0.030994,0.05529
2220,1.9,1.539570513,1.5395,0.88089315,3,0.333333333,0,0.051582,0.063366
2221,3.7,1.540840215,1.5408,0.86525585,3,0.333333333,0,0.041427,0.061718
2222,3.3,1.550908206,1.5506,0.81848378,3,0.333333333,0,-0.152956,-0.061416
2223,3.7,1.515346354,1.5149,0.88975682,3,0.333333333,0,-0.052426,0.230125
2224,3.2,1.542541282,1.5421,0.86444506,3,0.333333333,0,-0.174177,0.081143
2225,5.3,1.506287332,1.1968,0.88782236,3,0.333333333,0,-0.048029,0.233077
2226,3.2,1.562430196,1.5624,0.85517536,3,0.333333333,0,-0.097195,-0.0948
2227,4.7,1.532757732,1.2348,0.85419984,11,0.36363636,0,-0.273771,0.075359
2228,3.8,1.529249272,1.527,0.85573146,11,0.36363636,0,-0.28488,0.108108
2229,4.8,1.536294654,1.2342,0.83565856,11,0.36363636,0,-0.300147,0.066363
