Molecule,Atom 1,Atom 2,Bond Length,Elecneg_1,Ele_1,Elecneg_2,Ele_2,InConj_1,InConj_2,InRing_1,InRing_2,Neighbour1,Neighbour2
4,0,1,1.342461269,2.55,0,3.44,1,0,0,0,0,3,2
4,0,12,1.205963982,2.55,0,3.44,1,0,0,0,0,3,1
4,29,39,1.204160258,2.55,0,3.44,1,0,0,0,0,3,1
4,34,40,1.204101844,2.55,0,3.44,1,0,0,0,0,3,1
4,11,13,1.201821777,2.55,0,3.44,1,0,0,0,0,3,1
4,41,42,1.158375897,2.55,0,3.04,2,0,0,0,0,2,1
5,2,4,1.598286339,2.55,0,2.55,0,0,0,4,4,4,4
5,4,5,1.57346047,2.55,0,2.55,0,0,0,4,4,4,2
5,2,3,1.566828818,2.55,0,2.55,0,0,0,4,4,4,2
5,3,5,1.542432163,2.55,0,2.55,0,0,0,4,4,2,2
5,4,10,1.540600998,2.55,0,2.55,0,0,0,4,0,4,3
5,0,2,1.53638327,2.55,0,2.55,0,0,0,0,4,3,4
5,18,19,1.521303929,2.55,0,2.55,0,0,0,0,0,2,2
5,14,15,1.515987741,2.55,0,2.55,0,0,0,0,0,2,2
5,33,34,1.507980335,2.55,0,2.55,0,0,0,0,0,3,1
5,28,29,1.507735134,2.55,0,2.55,0,0,0,0,0,3,1
5,2,40,1.46374295,2.55,0,2.55,0,0,0,4,0,4,2
5,4,41,1.459560154,2.55,0,2.55,0,0,0,4,0,4,2
5,1,14,1.438561342,3.44,1,2.55,0,0,0,0,0,2,2
5,13,18,1.437919167,3.44,1,2.55,0,0,0,0,0,2,2
5,19,25,1.42811774,2.55,0,3.44,1,0,0,0,0,2,2
5,15,22,1.427019066,2.55,0,3.44,1,0,0,0,0,2,2
5,22,28,1.356566148,3.44,1,2.55,0,0,0,0,0,2,3
5,25,33,1.355469403,3.44,1,2.55,0,0,0,0,0,2,3
5,0,1,1.333504552,2.55,0,3.44,1,0,0,0,0,3,2
5,10,13,1.328949705,2.55,0,3.44,1,0,0,0,0,3,2
5,10,12,1.206645083,2.55,0,3.44,1,0,0,0,0,3,1
5,33,39,1.203963859,2.55,0,3.44,1,0,0,0,0,3,1
5,28,38,1.203741918,2.55,0,3.44,1,0,0,0,0,3,1
5,0,11,1.202398799,2.55,0,3.44,1,0,0,0,0,3,1
5,40,42,1.158937055,2.55,0,3.04,2,0,0,0,0,2,1
5,41,43,1.158462981,2.55,0,3.04,2,0,0,0,0,2,1
6,2,4,1.629875999,2.55,0,2.55,0,0,0,4,4,4,4
6,4,5,1.564740886,2.55,0,2.55,0,0,0,4,4,4,2
